Year,Language,Count,Category
2022,Visual Studio Code,21230,Tools
2022,JavaScript,20521,Programming Language
2022,npm,18747,Libraries
2022,Docker,17721,Tools
2022,HTML/CSS,16771,Markup Language
2022,SQL,15904,Programming Language
2022,Node.js,13941,Platforms
2022,Python,13916,Programming Language
2022,AWS,13661,Platforms
2022,TypeScript,13354,Programming Language
2022,PostgreSQL,13263,Databases
2022,MySQL,13073,Databases
2022,React.js,12471,Web Frameworks
2022,Visual Studio,10496,Tools
2022,Java,10493,Programming Language
2022,C#,10088,Programming Language
2022,MongoDB,9803,Databases
2022,SQLite,9508,Databases
2022,IntelliJ,9225,Tools
2022,NET,8957,Frameworks
2022,Microsoft Azure,8878,Platforms
2022,Bash/Shell,8724,Scripting Language
2022,Microsoft SQL Server,8551,Databases
2022,Yarn,8360,Tools
2022,Notepad++,8198,Tools
2022,jQuery,7805,Libraries
2022,Google Cloud,7733,Platforms
2022,Redis,7677,Databases
2022,Android Studio,7549,Tools
2022,Kubernetes,7301,Tools
2022,Express,7299,Web Frameworks
2022,Homebrew,7196,Tools
2022,NumPy,6920,Libraries
2022,Vim,6896,Tools
2022,Angular,6893,Web Frameworks
2022,ASP.NET Core,6603,Web Frameworks
2022,Firebase,6502,Platforms
2022,Pandas,6416,Libraries
2022,PHP,6351,Programming Language
2022,Heroku,6055,Platforms
2022,C++,5990,Programming Language
2022,PyCharm,5534,Tools
2022,Vue.js,5524,Web Frameworks
2022,MariaDB,5266,Databases
2022,C,5169,Programming Language
2022,Sublime Text,5143,Tools
2022,ASP.NET,4934,other
2022,Flask,4822,Web Frameworks
2022,React Native,4732,Frameworks
2022,DigitalOcean,4653,Platforms
2022,PowerShell,4643,Scripting Language
2022,Django,4591,Web Frameworks
2022,Spring,4527,Web Frameworks
2022,Elasticsearch,4375,other
2022,Next.js,4202,Web Frameworks
2022,Eclipse,4132,Tools
2022,Xcode,3995,Tools
2022,IPython/Jupyter,3986,Tools
2022,Go,3958,Programming Language
2022,Flutter,3908,Frameworks
2022,TensorFlow,3562,Libraries
2022,Terraform,3502,Tools
2022,Electron,3413,Frameworks
2022,Nano,3388,Tools
2022,Apache Kafka,3288,other
2022,Firebase Realtime Database,3281,Databases
2022,Oracle,3272,Databases
2022,Webstorm,3173,Tools
2022,Atom,3139,Tools
2022,Scikit-learn,3119,Libraries
2022,Angular.js,3090,Web Frameworks
2022,Kotlin,3086,Programming Language
2022,DynamoDB,3037,Databases
2022,Unity 3D,3026,Frameworks
2022,Cloud Firestore,2961,Databases
2022,Dart,2898,Programming Language
2022,Ansible,2631,Tools
2022,Rust,2600,Programming Language
2022,VMware,2567,Platforms
2022,Laravel,2508,Web Frameworks
2022,Torch/PyTorch,2233,Libraries
2022,FastAPI,2184,Web Frameworks
2022,Rider,2177,Tools
2022,PhpStorm,2126,Tools
2022,Ionic,1972,Web Frameworks
2022,NetBeans,1930,Tools
2022,Keras,1927,Libraries
2022,Ruby,1901,Programming Language
2022,Neovim,1877,Tools
2022,Qt,1821,Frameworks
2022,Managed Hosting,1642,Platforms
2022,Assembly,1621,Programming Language
2022,Blazor,1581,Web Frameworks
2022,CLion,1567,Tools
2022,Cordova,1536,Frameworks
2022,Xamarin,1528,Frameworks
2022,Swift,1522,Programming Language
2022,Ruby on Rails,1461,Web Frameworks
2022,Apache Spark,1434,Frameworks
2022,R,1425,Programming Language
2022,Svelte,1389,Web Frameworks
2022,VBA,1366,Programming Language
2022,GoLand,1275,Tools
2022,Lua,1237,Programming Language
2022,MATLAB,1233,Programming Language
2022,Nuxt.js,1215,Web Frameworks
2022,Unreal Engine,1193,Frameworks
2022,OVH,1183,Platforms
2022,Groovy,1169,Programming Language
2022,Emacs,1140,Tools
2022,Gatsby,1136,Web Frameworks
2022,Linode,1113,Platforms
2022,RStudio,1019,Tools
2022,Hadoop,988,Frameworks
2022,Capacitor,956,Frameworks
2022,Cassandra,951,Databases
2022,Scala,939,Programming Language
2022,Symfony,928,Web Frameworks
2022,Objective-C,844,Programming Language
2022,Neo4j,836,Databases
2022,Qt Creator,825,Tools
2022,Spyder,727,Tools
2022,Elixir,688,Programming Language
2022,GTK,671,Frameworks
2022,Perl,663,Programming Language
2022,Haskell,660,Programming Language
2022,Fastify,641,Web Frameworks
2022,OpenStack,628,Platforms
2022,Drupal,622,Web Frameworks
2022,Puppet,616,Tools
2022,Solidity,612,Programming Language
2022,Oracle Cloud Infrastructure,611,Platforms
2022,IBM DB2,601,Databases
2022,Hugging Face Transformers,571,Frameworks
2022,Delphi,561,Programming Language
2022,Deno,544,Platforms
2022,IBM Cloud or Watson,535,Platforms
2022,CouchDB,522,Databases
2022,Phoenix,512,Web Frameworks
2022,RubyMine,506,Tools
2022,Chef,489,Tools
2022,F#,454,Programming Language
2022,Couchbase,434,Databases
2022,Clojure,412,Programming Language
2022,C++ Builder,399,Tools
2022,RAD Studio (Delphi,399,Tools
2022,Colocation,378,Platforms
2022,Tidyverse,349,Frameworks
2022,LISP,349,Programming Language
2022,Julia,344,Programming Language
2022,Erlang,331,Programming Language
2022,Play Framework,316,Web Frameworks
2022,Pulumi,303,Tools
2022,Flow,299,other
2022,TextMate,287,Tools
2022,Fortran,220,Programming Language
2022,SAS,219,Programming Language
2022,COBOL,217,Programming Language
2022,Uno Platform,200,Frameworks
2022,APL,198,Programming Language
2022,OCaml,188,Programming Language
2022,Crystal,159,Programming Language
