Year,Language,Count,Category
2015,JavaScript,11963,Programming Language
2015,SQL,9440,Scripting Language
2015,Java,8219,Programming Language
2015,C#,6949,Programming Language
2015,PHP,6529,Programming Language
2015,Python,5238,Programming Language
2015,C++,4529,Programming Language
2015,SQL Server,4129,Databases
2015,Android,4110,Platforms
2015,C,3612,Programming Language
2015,Node.js,2919,Frameworks
2015,AngularJS,2913,Web Frameworks
2015,Wordpress,2007,other
2015,iOS,1956,Platforms
2015,LAMP,1926,Frameworks
2015,C++11,1851,other
2015,Ruby,1765,Programming Language
2015,MongoDB,1747,Databases
2015,Objective-C,1719,Programming Language
2015,Visual Basic,1702,Programming Language
2015,Arduino / Raspberry Pi,1626,Tools
2015,Azure,1412,Platforms
2015,,1411,other
2015,Cloud (AWS,1410,other
2015,GAE,1410,other
2015,Redis,873,Databases
2015,Matlab,861,other
2015,CoffeeScript,783,other
2015,Swift,759,Programming Language
2015,R,755,Programming Language
2015,Perl,738,Programming Language
2015,Cordova,628,Frameworks
2015,Windows Phone,570,Platforms
2015,Scala,539,Programming Language
2015,Go,463,Programming Language
2015,Haskell,357,Programming Language
2015,Sharepoint,349,other
2015,Hadoop,342,Tools
2015,Cassandra,202,Databases
2015,Clojure,176,Programming Language
2015,F#,174,Programming Language
2015,Salesforce,154,Platforms
2015,Dart,109,Programming Language
2015,Spark,104,Frameworks
2015,Rust,103,Programming Language
2015,Delphi,92,Programming Language
2015,Groovy,92,Programming Language
2015,TypeScript,61,Programming Language
2015,HTML,60,Markup Language
2015,Lua,59,Programming Language
2015,CSS,52,Markup Language
2015,Bash,50,Scripting Language
2015,Erlang,45,Programming Language
2015,Fortran,41,Programming Language
2015,bash,39,other
2015,Typescript,26,other
2015,PL/SQL,26,Programming Language
2015,PowerShell,26,Scripting Language
2015,Powershell,25,other
2015,Django,20,Web Frameworks
2015,ActionScript,20,Programming Language
2015,VBA,19,Scripting Language
2015,ColdFusion,18,other
2015,Drupal,18,other
2015,groovy,17,other
2015,VHDL,16,Programming Language
2015,jQuery,16,Libraries
2015,Grails,15,other
2015,D,14,Programming Language
2015,MySQL,14,Databases
2015,React,14,Web Frameworks
2015,EmberJS,13,Web Frameworks
2015,OCaml,13,Programming Language
2015,SAS,12,Programming Language
2015,Ember.js,12,Libraries
2015,Scheme,11,Programming Language
2015,Julia,11,Programming Language
2015,Mathematica,11,other
2015,Coldfusion,11,other
2015,Magento,10,other
2015,ABAP,10,Programming Language
2015,Assembly,10,Programming Language
2015,PostgreSQL,10,Databases
2015,Ada,10,Programming Language
2015,Verilog,10,Programming Language
2015,Joomla,10,other
2015,HTML5,10,other
2015,css,10,other
2015,Qt,9,Frameworks
2015,jquery,9,other
2015,Prolog,9,Programming Language
2015,ExtJS,9,other
2015,XSLT,9,Markup Language
2015,Common Lisp,9,other
2015,Tcl,9,other
2015,lua,9,other
2015,X++,9,other
2015,Meteor,8,Web Frameworks
2015,Spring,8,Web Frameworks
2015,Elasticsearch,8,Databases
2015,Xamarin,8,Frameworks
2015,ElasticSearch,8,other
2015,Pascal,8,Programming Language
2015,ASP.NET,8,Web Frameworks
2015,KnockoutJS,8,other
2015,COBOL,8,Programming Language
2015,html,8,other
2015,CUDA,8,other
2015,Oracle,8,Databases
2015,Haxe,7,other
2015,TCL,7,other
2015,Backbone,7,Web Frameworks
2015,Laravel,7,Web Frameworks
2015,LUA,7,other
2015,erlang,7,other
2015,Shell,7,Scripting Language
2015,React.js,6,other
2015,OpenGL,6,other
2015,QML,6,other
2015,Smalltalk,6,Programming Language
2015,Html,6,other
2015,Knockout,6,Libraries
2015,Lisp,6,Programming Language
2015,ASP,6,other
2015,Unity,6,Frameworks
2015,Ember,6,other
2015,VBScript,6,Programming Language
2015,CSS3,6,other
2015,LESS,6,other
2015,JQuery,5,other
2015,haxe,5,other
2015,none,5,other
2015,Kotlin,5,Programming Language
2015,BASH,5,other
2015,OpenCL,5,other
2015,Elixir,5,Programming Language
2015,Flex,5,other
2015,ActionScript 3,5,other
2015,GLSL,5,Programming Language
2015,Sass,5,other
2015,AS3,5,other
2015,Actionscript,5,other
2015,shell,5,other
2015,assembly,5,other
2015,Powerbuilder,5,other
2015,RavenDB,5,Databases
2015,Docker,5,Tools
2015,Action Script 3,4,other
2015,fortran,4,other
2015,FORTRAN,4,other
2015,DB2,4,Databases
2015,lisp,4,other
2015,ReactJS,4,Libraries
2015,elasticsearch,4,other
2015,XQuery,4,other
2015,GML,4,other
2015,CFML,4,other
2015,SSIS,4,other
2015,Rails,4,other
2015,Emacs Lisp,4,other
2015,RabbitMQ,4,other
2015,IDL,4,other
2015,Sitecore,4,other
2015,Postgres,4,other
2015,awk,4,other
2015,Polymer,4,other
2015,Racket,4,Programming Language
2015,Silverlight,4,other
2015,grails,4,other
2015,WPF,4,other
2015,x86 assembly,4,other
2015,Ruby on Rails,4,Web Frameworks
2015,Assembler,4,other
2015,GWT,4,other
2015,ASP.NET MVC,4,other
2015,Unity3D,4,other
2015,typescript,3,other
2015,ASP.Net,3,other
2015,Joomla!,3,other
2015,CouchDB,3,Databases
2015,Cobol,3,other
2015,BASIC,3,other
2015,HTML/CSS,3,other
2015,RPGLE,3,other
2015,LabVIEW,3,other
2015,PureScript,3,other
2015,Backbone.js,3,other
2015,WebGL,3,other
2015,XAML,3,other
2015,Codeigniter,3,other
2015,BizTalk,3,other
2015,AutoIT,3,other
2015,Vaadin,3,other
2015,Cold Fusion,3,other
2015,BackboneJS,3,other
2015,Hibernate,3,Frameworks
2015,knockout.js,3,other
2015,MySql,3,other
