Year,Language,Count,Category
2023,Visual Studio Code,29125,Tools
2023,JavaScript,27667,Programming Language
2023,Docker,22970,Tools
2023,HTML/CSS,22734,Markup Language
2023,npm,22513,Libraries
2023,SQL,22486,Programming Language
2023,TypeScript,19367,Programming Language
2023,Python,19322,Programming Language
2023,Amazon Web Services (AWS,19263,Platforms
2023,PostgreSQL,19231,Databases
2023,Node.js,17705,Platforms
2023,React,16708,Web Frameworks
2023,MySQL,16370,Databases
2023,C#,14600,Programming Language
2023,Visual Studio,13613,other
2023,Java,13578,Programming Language
2023,Bash/Shell (all shells,13111,Scripting Language
2023,SQLite,13054,Databases
2023,Microsoft Azure,12704,Platforms
2023,Pip,12470,Tools
2023,IntelliJ IDEA,12389,Tools
2023,Microsoft SQL Server,12210,Databases
2023,MongoDB,12194,Databases
2023,NET (5+,11671,Frameworks
2023,Notepad++,10573,Tools
2023,Yarn,10372,Tools
2023,Google Cloud,10065,Platforms
2023,Redis,10015,Databases
2023,Webpack,9702,Tools
2023,Kubernetes,9694,Tools
2023,Homebrew,9548,Tools
2023,ASP.NET CORE,9246,Web Frameworks
2023,jQuery,9059,Libraries
2023,NuGet,9007,Tools
2023,Vim,8837,Tools
2023,Android Studio,8620,Tools
2023,Express,8501,Web Frameworks
2023,Angular,8245,Web Frameworks
2023,C++,7884,Programming Language
2023,NumPy,7790,Libraries
2023,PHP,7782,Programming Language
2023,Pandas,7731,Libraries
2023,NET Framework (1.0 - 4.8,7518,Frameworks
2023,Make,7412,Tools
2023,MariaDB,7278,Databases
2023,Maven (build tool,7250,Tools
2023,PowerShell,7236,Scripting Language
2023,Next.js,7106,Web Frameworks
2023,Gradle,7101,Tools
2023,Firebase,7019,Platforms
2023,Visual Studio Solution,6995,Tools
2023,C,6939,other
2023,ASP.NET,6910,Web Frameworks
2023,Vue.js,6848,Web Frameworks
2023,Elasticsearch,6762,Databases
2023,Vite,6705,Tools
2023,Cloudflare,6622,Platforms
2023,PyCharm,6487,Tools
2023,Jupyter Notebook/JupyterLab,6172,Tools
2023,Go,6120,Programming Language
2023,Spring Boot,6018,Web Frameworks
2023,Flask,5833,Web Frameworks
2023,MSBuild,5771,Tools
2023,Digital Ocean,5765,Platforms
2023,RabbitMQ,5738,Tools
2023,Terraform,5643,Tools
2023,Spring Framework,5608,Frameworks
2023,Sublime Text,5464,Tools
2023,Heroku,5365,Platforms
2023,Rust,5283,Programming Language
2023,WordPress,5254,Web Frameworks
2023,CMake,5154,Tools
2023,Django,5128,Web Frameworks
2023,Cargo,5001,Tools
2023,React Native,4830,Web Frameworks
2023,Xcode,4806,Tools
2023,Neovim,4621,Tools
2023,Apache Kafka,4616,Tools
2023,Eclipse,4560,Tools
2023,Vercel,4519,Platforms
2023,Chocolatey,4466,Tools
2023,Kotlin,4453,Programming Language
2023,Flutter,4430,Frameworks
2023,Nano,4376,Tools
2023,Dynamodb,4366,Databases
2023,TensorFlow,4124,Libraries
2023,Oracle,4030,Databases
2023,WebStorm,3916,Tools
2023,Ansible,3880,Tools
2023,GNU GCC,3863,Tools
2023,FastAPI,3782,Web Frameworks
2023,Electron,3743,Frameworks
2023,Scikit-Learn,3690,Libraries
2023,Netlify,3654,Platforms
2023,Torch/PyTorch,3617,Frameworks
2023,AngularJS,3530,Web Frameworks
2023,Dart,3468,Programming Language
2023,Cloud Firestore,3424,Databases
2023,Opencv,3417,Libraries
2023,Rider,3381,other
2023,Firebase Realtime Database,3318,Databases
2023,Composer,3254,Tools
2023,VMware,3206,Platforms
2023,APT,3076,Tools
2023,Unity 3D,3054,Frameworks
2023,DataGrip,2979,Tools
2023,pnpm,2967,Tools
2023,Laravel,2878,Web Frameworks
2023,Svelte,2838,Web Frameworks
2023,Blazor,2818,Web Frameworks
