Year,Language,Count,Category
2013,JavaScript,4741,Programming Language
2013,SQL,4595,Scripting Language
2013,jQuery,4111,Frameworks
2013,C#,3028,Programming Language
2013,Java,3021,Programming Language
2013,PHP,2329,Programming Language
2013,Python,1883,Programming Language
2013,C++,1697,Programming Language
2013,C,1437,Programming Language
2013,Objective-C,956,Programming Language
2013,Ruby,795,Programming Language
2013,Node.js,600,Frameworks
2013,JQuery,241,other
2013,Perl,148,Programming Language
2013,R,80,Programming Language
2013,VB.NET,78,Programming Language
2013,Delphi,73,Programming Language
2013,Scala,71,Programming Language
2013,Haskell,58,Programming Language
2013,HTML,50,Markup Language
2013,CSS,46,Markup Language
2013,VBA,33,Scripting Language
2013,perl,32,other
2013,Groovy,31,Programming Language
2013,Matlab,31,other
2013,Lua,30,Programming Language
2013,CoffeeScript,28,Programming Language
2013,vb.net,27,other
2013,bash,26,other
2013,VB,25,other
2013,Clojure,24,Programming Language
2013,ColdFusion,24,other
2013,F#,22,Programming Language
2013,VB.Net,19,other
2013,MongoDB,19,Databases
2013,Bash,18,Scripting Language
2013,XML,18,Markup Language
2013,VB6,18,other
2013,Powershell,17,other
2013,Mathematica,17,other
2013,ActionScript,16,other
2013,scala,16,other
2013,Fortran,15,Programming Language
2013,PL/SQL,15,Scripting Language
2013,MATLAB,15,other
2013,ABAP,14,Programming Language
2013,groovy,14,other
2013,Erlang,14,Programming Language
2013,Visual Basic,14,Programming Language
2013,Go,14,Programming Language
2013,Dojo,13,Frameworks
2013,XSLT,13,Markup Language
2013,matlab,13,other
2013,ASP.NET,12,Frameworks
2013,clojure,12,other
2013,MySQL,12,Databases
2013,Flex,10,Frameworks
2013,Android,10,Platforms
2013,SAS,9,other
2013,PowerShell,9,Scripting Language
2013,haskell,9,other
2013,WPF,9,Frameworks
2013,css,9,other
2013,Actionscript,9,other
2013,HTML5,9,Markup Language
2013,html,8,other
2013,Coldfusion,8,other
2013,mongodb,8,other
2013,ASP,8,other
2013,shell,8,other
2013,ExtJS,8,Frameworks
2013,CSS3,8,Markup Language
2013,Assembly,7,other
2013,GWT,7,Frameworks
2013,Grails,7,Frameworks
2013,Lisp,7,Programming Language
2013,CUDA,7,other
2013,Silverlight,7,Frameworks
2013,Ada,7,Programming Language
2013,AngularJS,7,Web Frameworks
2013,Common Lisp,7,other
2013,Django,7,Web Frameworks
2013,VB.net,6,other
2013,lisp,6,other
2013,Classic ASP,6,other
2013,VBScript,6,Scripting Language
2013,XAML,6,Markup Language
2013,vb,6,other
2013,delphi,6,other
2013,Pascal,5,Programming Language
2013,X++,5,other
2013,erlang,5,other
2013,Coffeescript,5,other
2013,shell script,5,other
2013,D,5,Programming Language
2013,Redis,5,Databases
2013,powershell,5,other
2013,awk,5,other
2013,JSF,5,Frameworks
2013,COBOL,5,Programming Language
2013,SSIS,5,other
2013,AS3,5,other
2013,LaTeX,5,Markup Language
2013,BASH,5,other
2013,Rails,4,Web Frameworks
2013,asp.net,4,other
2013,Smalltalk,4,Programming Language
2013,flex,4,other
2013,VHDL,4,other
2013,lua,4,other
2013,make,4,other
2013,OCaml,4,Programming Language
2013,go,4,other
2013,Backbone,4,other
2013,Prolog,4,Programming Language
2013,vba,4,other
2013,asp,4,other
2013,PERL,4,other
2013,vb6,4,other
2013,vbscript,4,other
2013,PhoneGap,4,Frameworks
2013,Mongo,3,other
2013,Racket,3,other
2013,mysql,3,other
2013,silverlight,3,other
2013,Assembler,3,other
2013,less,3,other
2013,VB .NET,3,other
2013,SSRS,3,other
2013,Javascript,3,other
2013,Ruby on Rails,3,Frameworks
2013,xquery,3,other
2013,Shell,3,Scripting Language
2013,Backbone.js,3,Web Frameworks
2013,r,3,other
2013,assembler,3,other
2013,MVC,3,other
2013,Groovy/Grails,3,other
2013,Verilog,3,other
2013,Qt,3,other
2013,fortran,3,other
2013,TypeScript,3,other
2013,XSL,3,other
2013,coldfusion,3,other
2013,Scheme,3,Programming Language
2013,knockoutjs,3,other
2013,MDX,3,other
