Year,Language,Count
2017,JavaScript,12183
2017,SQL,9739
2017,MySQL,8822
2017,Node.js,7461
2017,C#,7214
2017,AngularJS,6920
2017,SQL Server,6737
2017,Java,6627
2017,Windows Desktop,6319
2017,Amazon Web Services (AWS,5385
2017,PHP,5374
2017,NET Core,5327
2017,Android,5114
2017,Python,4981
2017,SQLite,4714
2017,Linux Desktop,4630
2017,MongoDB,4414
2017,PostgreSQL,4394
2017,C++,3227
2017,Mac OS,3084
2017,React,3012
2017,iOS,2989
2017,WordPress,2897
2017,C,2777
2017,Raspberry Pi,2747
2017,Redis,2687
2017,Microsoft Azure,2566
2017,TypeScript,2439
2017,Oracle,2382
2017,Cordova,1931
2017,Ruby,1754
2017,Arduino,1718
2017,Firebase,1624
2017,Xamarin,1452
2017,VB.NET,1395
2017,Swift,1295
2017,Objective-C,1286
2017,Go,924
2017,Hadoop,904
2017,Windows Phone,833
2017,CoffeeScript,805
2017,Assembly,802
2017,SharePoint,752
2017,VBA,751
2017,Scala,736
2017,Spark,727
2017,R,692
2017,Matlab,626
2017,Perl,625
2017,Cassandra,612
2017,Visual Basic 6,589
2017,Groovy,586
2017,Lua,524
2017,Salesforce,490
2017,Serverless,468
2017,Haskell,321
2017,F#,304
2017,Elixir,258
2017,Clojure,229
2017,Mainframe,215
2017,Rust,203
2017,Erlang,170
2017,Common Lisp,137
2017,Smalltalk,102
2017,Dart,92
2017,Hack,69
2017,Julia,55
